4, benders, benders_mipstart, benders_patch, benders_patch_mipstart
inst_nnodes1000_seed4149311_tl120_id1, 290.161293, 135.558703, 277.355555, 136.405951
inst_nnodes1000_seed4149311_tl120_id2, 158.558499, 151.698662, 154.865653, 157.438774
inst_nnodes1000_seed4149311_tl120_id3, 153.086826, 172.882530, 151.009569, 170.345006
inst_nnodes1000_seed4149311_tl120_id4, 154.213194, 136.519696, 151.690256, 134.169096
inst_nnodes1000_seed4149311_tl120_id5, 156.992621, 128.905228, 155.763200, 126.581484
inst_nnodes1000_seed4149311_tl120_id6, 153.428134, 140.930204, 153.360140, 136.666391
inst_nnodes1000_seed4149311_tl120_id7, 224.461265, 221.208856, 224.763835, 220.863627
inst_nnodes1000_seed4149311_tl120_id8, 252.147983, 123.761249, 252.153139, 120.888768
inst_nnodes1000_seed4149311_tl120_id9, 238.245748, 331.635900, 237.643739, 330.868238
inst_nnodes1000_seed4149311_tl120_id10, 161.449697, 147.880258, 159.839286, 146.115156
inst_nnodes1000_seed4149311_tl120_id11, 169.918538, 289.285288, 167.577286, 289.776578
inst_nnodes1000_seed4149311_tl120_id12, 224.984860, 337.223910, 222.463698, 332.997694
inst_nnodes1000_seed4149311_tl120_id13, 222.882416, 166.353384, 218.587020, 163.786465
inst_nnodes1000_seed4149311_tl120_id14, 315.442620, 127.531064, 314.565843, 127.387392
inst_nnodes1000_seed4149311_tl120_id15, 157.780368, 124.569588, 154.480489, 121.815974
inst_nnodes1000_seed4149311_tl120_id16, 346.458507, 184.321409, 343.033241, 180.965346
inst_nnodes1000_seed4149311_tl120_id17, 154.217575, 191.441907, 150.060298, 188.814912
inst_nnodes1000_seed4149311_tl120_id18, 180.978812, 125.421098, 176.102205, 121.986706
inst_nnodes1000_seed4149311_tl120_id19, 130.725687, 171.184009, 128.006667, 168.604680
inst_nnodes1000_seed4149311_tl120_id20, 249.935500, 213.849699, 247.174356, 207.791409
