5, rndm_vns, nnfn_square_tabu, nnrn_sawtoo_tabu, nnbs_triang_tabu, nnbs_square_tabu
inst_nnodes1000_seed4149311_tl120_id1, 245818.147318, 241924.962158, 243498.933191, 242347.083473, 242028.572648
inst_nnodes1000_seed4149311_tl120_id2, 246575.309405, 243343.694557, 244204.746490, 243500.211531, 242119.537770
inst_nnodes1000_seed4149311_tl120_id3, 245917.553868, 244396.457509, 244067.977988, 243151.907699, 241883.761747
inst_nnodes1000_seed4149311_tl120_id4, 247061.082979, 243948.074358, 244623.612326, 241250.805081, 241054.163974
inst_nnodes1000_seed4149311_tl120_id5, 246559.704954, 241314.415278, 240364.537261, 241613.802257, 241786.471242
inst_nnodes1000_seed4149311_tl120_id6, 248782.361992, 245707.758023, 245565.163331, 244860.840497, 245032.425897
inst_nnodes1000_seed4149311_tl120_id7, 250757.125249, 244635.545950, 243614.798338, 244816.391863, 244273.976892
inst_nnodes1000_seed4149311_tl120_id8, 245025.281722, 239798.242793, 240581.962936, 240867.700259, 241021.599772
inst_nnodes1000_seed4149311_tl120_id9, 248267.656604, 242498.736848, 241647.239931, 242597.237352, 240390.930844
inst_nnodes1000_seed4149311_tl120_id10, 245182.597161, 242670.342956, 239737.360345, 240744.576146, 240963.192314
inst_nnodes1000_seed4149311_tl120_id11, 245648.911437, 239903.253723, 242237.076344, 241178.818189, 241064.839336
inst_nnodes1000_seed4149311_tl120_id12, 241006.546456, 237952.681198, 236148.705726, 236337.177818, 235558.211832
inst_nnodes1000_seed4149311_tl120_id13, 249349.854127, 244127.061416, 244732.054520, 243732.082275, 244985.148683
inst_nnodes1000_seed4149311_tl120_id14, 245087.531557, 243348.318994, 244758.334538, 242487.353187, 242129.442474
inst_nnodes1000_seed4149311_tl120_id15, 244256.255966, 241441.366851, 241429.066458, 240714.822709, 241144.807007
inst_nnodes1000_seed4149311_tl120_id16, 245611.618334, 241167.100204, 242550.842069, 239883.614810, 239623.293541
inst_nnodes1000_seed4149311_tl120_id17, 248705.517846, 246759.910915, 247730.046326, 244362.664074, 244452.305893
inst_nnodes1000_seed4149311_tl120_id18, 249351.981488, 244640.307442, 247065.313240, 244372.382240, 244238.761612
inst_nnodes1000_seed4149311_tl120_id19, 246731.796970, 243492.514379, 243703.711109, 245610.768407, 245497.341877
inst_nnodes1000_seed4149311_tl120_id20, 249893.518731, 244109.215304, 244575.662006, 244788.072458, 246073.915265
