7, nnbs, nnbs_2opt, nnbs_tabu, nnbs_triang_tabu, nnbs_square_tabu, nnbs_sawtoo_tabu, nnbs_vns
inst_nnodes1000_seed4149311_tl120_id1, 276235.690246, 243399.696220, 242402.496824, 242347.083473, 242028.572648, 242428.316125, 242124.398837
inst_nnodes1000_seed4149311_tl120_id2, 274667.320716, 240955.818246, 239189.963803, 239684.357851, 239363.391684, 240120.167448, 240818.305552
inst_nnodes1000_seed4149311_tl120_id3, 278555.946664, 238970.390826, 239666.663867, 237937.483537, 239033.821070, 239157.007047, 238452.605019
inst_nnodes1000_seed4149311_tl120_id4, 277513.399946, 243436.609164, 242276.794529, 240942.777771, 241256.709663, 241824.135157, 242711.291209
inst_nnodes1000_seed4149311_tl120_id5, 279574.403969, 243673.649380, 242655.945575, 242943.456079, 241524.186657, 242045.808550, 242836.495167
inst_nnodes1000_seed4149311_tl120_id6, 276909.616586, 245348.926135, 244153.434717, 243572.452007, 244182.529097, 244679.988089, 244833.478431
inst_nnodes1000_seed4149311_tl120_id7, 277446.194524, 240095.283008, 240215.399568, 239226.976480, 238754.159145, 239201.763219, 240091.706589
inst_nnodes1000_seed4149311_tl120_id8, 280992.830592, 246908.774522, 248738.755381, 247235.689737, 246870.837282, 247533.463823, 244583.202939
inst_nnodes1000_seed4149311_tl120_id9, 272591.628806, 242942.529572, 243093.824009, 242163.839188, 241043.697864, 242077.131106, 241144.384973
inst_nnodes1000_seed4149311_tl120_id10, 275440.589909, 244685.438800, 243482.456560, 242135.225304, 243491.455099, 243628.554326, 244501.057196
inst_nnodes1000_seed4149311_tl120_id11, 271428.194850, 238641.162013, 236990.282006, 236410.119996, 236658.225286, 236916.803504, 237596.614112
inst_nnodes1000_seed4149311_tl120_id12, 278065.148851, 245891.277165, 245321.356901, 244498.401525, 243944.661682, 244664.038402, 243642.844573
inst_nnodes1000_seed4149311_tl120_id13, 279495.036095, 246298.904126, 244730.703638, 245560.290545, 244585.024400, 243471.667619, 246298.904126
inst_nnodes1000_seed4149311_tl120_id14, 279322.887213, 245593.203385, 245077.313619, 244176.736113, 242931.609725, 243890.104816, 245397.774774
inst_nnodes1000_seed4149311_tl120_id15, 281742.552144, 243409.700918, 241841.373199, 240576.633556, 240422.746529, 242511.231759, 242600.935508
inst_nnodes1000_seed4149311_tl120_id16, 282169.861700, 244786.958304, 242923.723913, 243086.133925, 243700.292807, 243597.096973, 244596.705194
inst_nnodes1000_seed4149311_tl120_id17, 273749.604511, 244701.556349, 244731.876648, 243761.596373, 242776.130839, 243089.835529, 242991.630258
inst_nnodes1000_seed4149311_tl120_id18, 274588.922423, 243761.940248, 242658.267202, 239656.799091, 240813.863140, 241358.855618, 243761.940248
inst_nnodes1000_seed4149311_tl120_id19, 286679.169994, 247671.132653, 246144.174614, 245387.367773, 246037.141959, 244809.292611, 246775.901849
inst_nnodes1000_seed4149311_tl120_id20, 278363.243797, 243427.321898, 241040.652444, 240192.783972, 242006.569590, 242739.127440, 241460.712795
