7, nnfn, nnfn_2opt, nnfn_tabu, nnfn_triang_tabu, nnfn_square_tabu, nnfn_sawtoo_tabu, nnfn_vns
inst_nnodes1000_seed4149311_tl120_id1, 286509.607309, 245524.464168, 243303.197738, 241711.441388, 241924.962158, 243727.921714, 244353.370230
inst_nnodes1000_seed4149311_tl120_id2, 278183.681094, 239262.678106, 238847.297432, 238022.037675, 238947.345927, 239259.457234, 239154.800297
inst_nnodes1000_seed4149311_tl120_id3, 299021.923848, 240892.894667, 239512.908202, 238527.884552, 238721.233020, 240457.353423, 239525.796683
inst_nnodes1000_seed4149311_tl120_id4, 290754.197197, 248072.029527, 247111.426669, 247075.308046, 245993.010978, 246866.489793, 248072.029527
inst_nnodes1000_seed4149311_tl120_id5, 284563.698496, 243319.517381, 241017.310241, 240028.212051, 239445.961164, 239241.274034, 242692.663132
inst_nnodes1000_seed4149311_tl120_id6, 297428.645403, 244271.750752, 246341.710194, 244640.502392, 243647.290415, 245323.974733, 244199.652792
inst_nnodes1000_seed4149311_tl120_id7, 292347.897971, 249116.015255, 245332.086071, 245281.544192, 243195.928516, 245135.329876, 247905.962871
inst_nnodes1000_seed4149311_tl120_id8, 286747.656027, 247346.045994, 242982.832826, 244131.756313, 243804.249305, 244740.467766, 244056.153526
inst_nnodes1000_seed4149311_tl120_id9, 278507.289615, 242610.876302, 243228.073687, 242875.939753, 241367.254707, 241480.904209, 242494.620553
inst_nnodes1000_seed4149311_tl120_id10, 293553.519050, 242733.107433, 242257.283382, 242195.142033, 241338.782185, 242283.256003, 242370.514198
inst_nnodes1000_seed4149311_tl120_id11, 293061.577641, 242793.012634, 243206.811214, 242698.246956, 242139.630056, 241580.263650, 241060.628885
inst_nnodes1000_seed4149311_tl120_id12, 286379.786014, 239079.100900, 239760.014803, 237575.863046, 238595.988083, 239765.833997, 238636.344893
inst_nnodes1000_seed4149311_tl120_id13, 292977.505657, 243715.670533, 242420.031373, 241401.686778, 242240.775164, 241774.298017, 243344.345166
inst_nnodes1000_seed4149311_tl120_id14, 296847.153680, 247285.246445, 245323.939920, 243784.074117, 244204.570731, 244213.509674, 244922.209103
inst_nnodes1000_seed4149311_tl120_id15, 286964.665469, 244025.799410, 243199.225405, 241717.772509, 240509.126260, 241676.295058, 243060.818953
inst_nnodes1000_seed4149311_tl120_id16, 290840.650628, 240268.954271, 239326.895409, 239603.824490, 237686.260647, 238283.043065, 240268.954271
inst_nnodes1000_seed4149311_tl120_id17, 301712.637809, 241048.066675, 241361.996137, 239940.472432, 240243.422995, 241558.701674, 240738.722658
inst_nnodes1000_seed4149311_tl120_id18, 283124.287096, 244572.271356, 243365.781849, 243273.591347, 243495.841104, 243594.693577, 243410.489489
inst_nnodes1000_seed4149311_tl120_id19, 285792.989019, 245064.678666, 243663.572250, 243053.342301, 242700.021435, 242966.764931, 243370.305479
inst_nnodes1000_seed4149311_tl120_id20, 292266.837565, 241830.688195, 241586.886901, 241718.637124, 240281.359931, 241001.805807, 239756.089419
