3, nnfn, nnrn, nnbs
inst_nnodes2000_seed4149311_tl120_id1, 419348.121024, 411678.635460, 393739.765815
inst_nnodes2000_seed4149311_tl120_id2, 412793.222850, 402349.753295, 395015.864161
inst_nnodes2000_seed4149311_tl120_id3, 400023.338367, 404003.733926, 395449.216209
inst_nnodes2000_seed4149311_tl120_id4, 398548.254237, 396247.004164, 388561.513289
inst_nnodes2000_seed4149311_tl120_id5, 402179.088173, 414229.514544, 389147.039274
inst_nnodes2000_seed4149311_tl120_id6, 416260.283986, 410513.177444, 398505.855474
inst_nnodes2000_seed4149311_tl120_id7, 405998.047373, 407340.901723, 394451.563857
inst_nnodes2000_seed4149311_tl120_id8, 409974.717429, 416831.544776, 395366.871778
inst_nnodes2000_seed4149311_tl120_id9, 399735.426553, 400807.390702, 382469.151972
inst_nnodes2000_seed4149311_tl120_id10, 403918.557728, 395202.569133, 387857.520390
inst_nnodes2000_seed4149311_tl120_id11, 413216.613456, 410680.761436, 395445.282990
inst_nnodes2000_seed4149311_tl120_id12, 408273.042554, 401459.384730, 392338.255149
inst_nnodes2000_seed4149311_tl120_id13, 410284.264211, 414127.088384, 390630.927799
inst_nnodes2000_seed4149311_tl120_id14, 404388.740325, 396185.225273, 392123.480007
inst_nnodes2000_seed4149311_tl120_id15, 410601.583835, 416115.588155, 398037.298663
inst_nnodes2000_seed4149311_tl120_id16, 400774.135033, 398120.250874, 383989.082337
inst_nnodes2000_seed4149311_tl120_id17, 411162.704044, 415257.699477, 393959.595928
inst_nnodes2000_seed4149311_tl120_id18, 406587.452440, 401820.926592, 393997.070467
inst_nnodes2000_seed4149311_tl120_id19, 403111.538063, 416215.978251, 393203.329318
inst_nnodes2000_seed4149311_tl120_id20, 402886.036947, 402216.580178, 390824.978660
