2, nnbs_square_tabu, local_branching_20
inst_nnodes1000_seed4149311_tl120_id1, 241967.885629, 236252.726705
inst_nnodes1000_seed4149311_tl120_id2, 242493.030494, 239339.219964
inst_nnodes1000_seed4149311_tl120_id3, 239815.907163, 235280.915443
inst_nnodes1000_seed4149311_tl120_id4, 241708.737119, 235007.817765
inst_nnodes1000_seed4149311_tl120_id5, 242483.595539, 241378.813434
inst_nnodes1000_seed4149311_tl120_id6, 243817.850717, 241676.194533
inst_nnodes1000_seed4149311_tl120_id7, 241376.372296, 239439.007383
inst_nnodes1000_seed4149311_tl120_id8, 239915.882280, 236330.434886
inst_nnodes1000_seed4149311_tl120_id9, 240668.829670, 237111.523533
inst_nnodes1000_seed4149311_tl120_id10, 241923.184779, 236292.579125
inst_nnodes1000_seed4149311_tl120_id11, 242165.712669, 238308.643191
inst_nnodes1000_seed4149311_tl120_id12, 242897.111648, 238245.784221
inst_nnodes1000_seed4149311_tl120_id13, 240856.759960, 235533.610702
inst_nnodes1000_seed4149311_tl120_id14, 238058.309432, 234035.716502
inst_nnodes1000_seed4149311_tl120_id15, 237626.043959, 232588.222311
inst_nnodes1000_seed4149311_tl120_id16, 239638.648620, 233773.742398
inst_nnodes1000_seed4149311_tl120_id17, 238721.693097, 234842.783656
inst_nnodes1000_seed4149311_tl120_id18, 243399.109760, 238506.284493
inst_nnodes1000_seed4149311_tl120_id19, 242823.797229, 238831.485189
inst_nnodes1000_seed4149311_tl120_id20, 242550.067641, 237224.631873
